Sun
Moon
Mercury
Venus
Mars
Phobos
Deimos
Jupiter
Io
Europa
Ganymede
Callisto
Saturn
Mimas
Enceladus
Tethys
Dione
Rhea
Titan
Iapetus
Hyperion
Uranus
Miranda
Ariel
Umbriel
Titania
Oberon
Neptune
Pluto
Sirrah
Caph
Algenib
Schedar
Mirach
Achernar
Almach
Hamal
Polaris
Menkar
Algol
Electra
Taygeta
Maia
Merope
Alcyone
Atlas
Zaurak
Aldebaran
Rigel
Capella
Bellatrix
Elnath
Nihal
Mintaka
Arneb
Alnilam
Alnitak
Saiph
Betelgeuse
Menkalinan
Mirzam
Canopus
Alhena
Sirius
Adara
Wezen
Castor
Procyon
Pollux
Naos
Alphard
Regulus
Algieba
Merak
Dubhe
Denebola
Phecda
Minkar
Megrez
Gienah Corvi
Mimosa
Alioth
Vindemiatrix
Mizar
Spica
Alcor
Alcaid
Agena
Thuban
Arcturus
Izar
Kochab
Alphecca
Unukalhai
Antares
Rasalgethi
Shaula
Rasalhague
Cebalrai
Etamin
Kaus Australis
Vega
Sheliak
Nunki
Sulafat
Arkab Prior
Arkab Posterior
Rukbat
Albereo
Tarazed
Altair
Alshain
Sadr
Peacock
Deneb
Alderamin
Alfirk
Enif
Sadalmelik
Alnair
Fomalhaut
Scheat
Markab
